,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Rating
52,Oppo Reno9 Pro,True,True,True,True,"2022, November 24","Available. Released 2022, December 02",162.3 x 74.2 x 7.2 mm (6.39 x 2.92 x 0.28 in),174 g (6.14 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~89.7% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Asahi Glass AGC DT-Star2,,"Android 13, ColorOS 13",Mediatek Dimensity 8100 Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 16GB RAM, 512GB 16GB RAM","50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF
8 MP, f/2.2, 112˚ (ultrawide), 1/4.0"", 1.12µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, HDR","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","Panorama, HDR","1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS","Yes, eSE, HCE, NFC-SIM",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","67W wired, PD, 1-35% in 10 min, 1-100% in 44 min (advertised)
Reverse wired",,"Black, Gold, Pink gradient",PGX110,,,About 470 EUR,,,
53,Oppo Reno9,True,True,True,True,"2022, November 24","Available. Released 2022, December 02",162.3 x 74.2 x 7.2 mm (6.39 x 2.92 x 0.28 in),174 g (6.14 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~89.7% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Asahi Glass AGC DT-Star2,,"Android 13, ColorOS 13",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.8, 26mm (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","Panorama, HDR","1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS","Yes, eSE, HCE, NFC-SIM",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","67W wired, PD, QC2, 1-33% in 10 min, 1-100% in 44 min (advertised)
Reverse wired",,"Black, Gold, Pink gradient, Red",PHM110,,,About 600 EUR,,,
54,Oppo A1 Pro,True,True,True,True,"2022, November 16","Available. Released 2022, November 25",162.3 x 74.3 x 7.7 mm (6.39 x 2.93 x 0.30 in),171 g (6.03 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"OLED, 1B colors, 120Hz, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~89.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",AGC DT-Star2,,"Android 13, ColorOS 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, AF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, 25mm (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS","Yes; NFC-SIM, eSE, eID",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4800 mAh, non-removable","67W wired, PD, 80% in 30 min (advertised)
Reverse wired",,"Black, Blue, Gold",PHQ110,,,About 260 EUR,,,
55,Oppo A58 (China),True,True,True,True,"2022, November 08","Available. Released 2022, November 10",163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),188 g (6.63 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, ColorOS 12.1",Mediatek Dimensity 700 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 27mm (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 27mm (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE, aptX","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",33W wired,,"Black, Blue, Violet",,,,About 230 EUR,,,
56,Oppo A17k,True,True,True,False,"2022, October 13","Available. Released 2022, October 18",164.2 x 75.6 x 8.3 mm (6.46 x 2.98 x 0.33 in),189 g (6.67 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IPX4 water resistance,"IPS LCD, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~83.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Panda Glass,,"Android 12, ColorOS 12.1",Mediatek MT6765 Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,64GB 3GB RAM,"8 MP, f/2.0, (wide), AF","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",No,Unspecified,"microUSB 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",,,"Navy Blue, Gold",CPH2471,,,About 130 EUR,,,
57,Oppo A77s,True,True,True,False,"2022, October 05","Available. Released 2022, October 07",163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),187 g / 190 g (6.60 oz),"Glass front, plastic frame, plastic back or eco leather back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, upgradable to Android 14, ColorOS 14",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC,128GB 8GB RAM,"50 MP, f/1.8, 27mm (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide)",Panorama,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 100% in 69 min (advertised)",,"Sunset Orange, Starry Black",CPH2473,,,About 220 EUR,,,
58,Oppo A17,True,True,True,False,"2022, September 26","Available. Released 2022, September 26",164.2 x 75.6 x 8.3 mm (6.46 x 2.98 x 0.33 in),189 g (6.67 oz),,"Dual SIM (Nano-SIM, dual stand-by)",IPX4 water resistance,IPS LCD,"6.56 inches, 103.4 cm2 (~83.3% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, ColorOS 12.1",Mediatek MT6765 Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 3GB RAM, 64GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",HDR,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,GPS,No,FM radio,microUSB 2.0,"Fingerprint (side-mounted), accelerometer, proximity","Li-Po 5000 mAh, non-removable",,,"Midnight Black, Lake Blue, Sunlight Orange",CPH2477,,,"$ 310.01 / £ 85.00 / € 86.38 / ₹ 7,499",,,
59,Oppo K10x,True,True,True,True,"2022, September 16","Available. Released 2022, September 22",164.3 x 75.6 x 8.5 mm (6.47 x 2.98 x 0.33 in),195 g (6.88 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, 480 nits (typ), 600 (HBM)","6.59 inches, 104.5 cm2 (~84.1% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~401 ppi density)",,,"Android 12, ColorOS 12.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.7, 26mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.0, 26mm (wide), 1/3.0"", 1.0µm",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable","67W wired, 1-80% in 33 min (advertised)",,"Blue, Black",PGGM10,,,About 210 EUR,,,
60,Oppo A57e,True,True,True,False,"2022, August 31","Available. Released 2022, August 31",163.7 x 75 x 8 mm (6.44 x 2.95 x 0.31 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP5X (dust), IPX4 (water) resistance","IPS LCD, 600 nits","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, ColorOS 12.1",Mediatek MT6765G Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,64GB 4GB RAM,"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, AF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",HDR,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,GPS,No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 50% in 30 min (advertised)",,"Glowing Black, Glowing Green",CPH2387,,,About 180 EUR,,,
61,Oppo A57s,True,True,True,False,"2022, August 31","Available. Released 2022, September 12",163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),187 g (6.60 oz),"Glass front (Panda Glass), plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP5X (dust), IPX4 (water) resistance","IPS LCD, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",Panda Glass,,"Android 12, ColorOS 12.1",Mediatek MT6765G Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 4GB RAM, 128GB 4GB RAM","50 MP, f/1.8, 27mm (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide)",Panorama,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 100% in 69 min (advertised)",,"Starry Black, Sky Blue",CPH2385,,,,,,
62,Oppo Reno8 4G,True,True,True,False,"2022, August 17","Available. Released 2022, August 26",159.9 x 73.2 x 7.7 mm (6.30 x 2.88 x 0.30 in),182 g (6.42 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IPX4 water resistant
RGB ring light around the camera (notifications, charging progress)","AMOLED, 90Hz, 430 nits (typ), 600 nits (HBM), 800 nits (peak)","6.43 inches, 99.8 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Panda Glass,,"Android 12, ColorOS 12.1",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC,256GB 8GB RAM,"64 MP, f/1.7, 26mm (wide), 1/2.0"", 0.7µm, PDAF
2 MP, f/3.3, (microscope)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, gyro-EIS","32 MP, f/2.4, 24mm (wide), 1/2.74"", 0.8µm","Panorama, HDR","1080p@30fps, gyro-EIS",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","33W wired
5W reverse wired",,"Dawnlight Gold, Starlight Black",CPH2457,,,About 330 EUR,,,
63,Oppo Watch 3 Pro,True,True,True,False,"2022, August 10","Available. Released 2022, August 19",50.4 x 38.5 x 12.8 mm (1.98 x 1.52 x 0.50 in),37.5 g (1.34 oz),"Glass front, aluminum frame",eSIM (market/region dependent),5ATM water resistant,LTPO AMOLED,1.91 inches,378 x 496 pixels (~327 ppi density),,Always-on display,Android Wear OS - InternationalColorOS Watch 3.0 - China,Qualcomm Snapdragon W5+ Gen 1 (4 nm),Quad-core 1.7 GHz Cortex-A53,Adreno A702,No,32GB 1GB RAM,No,,,,,,No,,"5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,No,"Accelerometer, gyro, heart rate, compass, barometer, SpO2","Li-Ion 550 mAh, non-removable",,,"Black, Silver",,,,About 270 EUR,,,
64,Oppo Watch 3,True,True,True,False,"2022, August 10","Available. Released 2022, August 19",43 x 37 x 11.7 mm (1.69 x 1.46 x 0.46 in),31.9 g (1.13 oz),"Glass front, aluminum frame",eSIM (market/region dependent),5ATM water resistant,AMOLED,1.75 inches,372 x 430 pixels (~326 ppi density),,,Android Wear OS - InternationalColorOS Watch 3.0 - China,Qualcomm Snapdragon W5+ Gen 1 (4 nm),Quad-core 1.7 GHz Cortex-A53,Adreno A702,No,32GB 1GB RAM,No,,,,,,No,,"5.0, A2DP, LE","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,No,"Accelerometer, gyro, heart rate, compass, barometer, SpO2","Li-Ion 400 mAh, non-removable",,,"Black, Gold",,,,About 220 EUR,,,
65,Oppo Reno8 Z,True,True,True,True,"2022, August 04","Available. Released 2022, August 04",159.9 x 73.2 x 7.7 mm (6.30 x 2.88 x 0.30 in),181 g (6.38 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","RGB ring lights around the cameras (notifications, charging progress)","AMOLED, 430 nits (typ), 600 nits (HBM)","6.43 inches, 99.8 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",Schott Xensation Up,,"Android 12, ColorOS 12.1",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.7, 26mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","1080p@30fps, 720p@30/120fps, EIS","16 MP, f/2.4, 27mm (wide), 1.0µm","HDR, panorama",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, proximity, gyro, compass","Li-Po 4500 mAh, non-removable","33W wired, PD, 31% in 15 min, 100% in 63 min (advertised)
Reverse wired",,"Starlight Black, Dawnlight Gold",,,,About 350 EUR,,,
66,Oppo A77 4G,True,True,True,False,"2022, August 03","Available. Released 2022, August 03",163.8 x 75 x 8 mm (6.45 x 2.95 x 0.31 in),187 g / 189 g (6.60 oz),"Glass front, plastic frame, plastic or leather back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, upgradable to Android 14, ColorOS 14",Mediatek MT6765G Helio G35 (12 nm),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,microSDXC,"64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide)",Panorama,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 100% in 69 min (advertised)",,"Sunset Orange, Sky Blue",CPH2385,,,About 200 EUR,,,
67,Oppo Reno8 Pro,True,True,True,True,"2022, July 18","Available. Released 2022, July 19",161.2 x 74.2 x 7.3 mm (6.35 x 2.92 x 0.29 in),183 g (6.46 oz),"Glass front (Gorilla Glass 5), aluminum frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)","6.7 inches, 108.0 cm2 (~90.3% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 5,,"Android 12, upgradable to Android 14, ColorOS 14",Mediatek Dimensity 8100 Max (5 nm),Octa-core (4x2.85 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120/240fps, 720p@960fps, gyro-EIS","32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm, AF","Panorama, HDR","1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","Li-Po 4500 mAh, non-removable","80W wired, 1-45% in 10 min, 1-100% in 31 min (advertised)
Reverse wired",,"Glazed Green, Glazed Black, House of the Dragon",CPH2357,,,"$ 600.00 / £ 389.99 / € 349.90 / ₹ 35,890","
AnTuTu: 718351 (v9)
GeekBench: 3395 (v5.1)
GFXBench: 44fps (ES 3.1 onscreen)",Endurance rating 100h,4.0
68,Oppo Reno8,True,True,True,True,"2022, July 18","Available. Released 2022, July 25",160.6 x 73.4 x 7.7 mm (6.32 x 2.89 x 0.30 in),179 g (6.31 oz),"Glass front (Gorilla Glass 5), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 90Hz, 430 nits (typ), 600 nits (HBM), 800 nits (peak)","6.4 inches, 98.9 cm2 (~83.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~411 ppi density)",Corning Gorilla Glass 5,,"Android 12, upgradable to Android 14, ColorOS 14",Mediatek Dimensity 1300 (6 nm),Octa-core (1x3.0 GHz Cortex-A78 & 3x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G77 MC9,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS","32 MP, f/2.4, 23mm (wide), 1/2.74"", 0.8µm","Panorama, HDR","1080p@30fps, gyro-EIS",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","80W wired, 1-50% in 11 min, 1-100% in 28 min (advertised)
Reverse wired",,"Shimmer Gold, Shimmer Black",CPH2359,,,"$ 435.00 / £ 218.00 / € 189.12 / ₹ 17,390","
AnTuTu: 619610a (v9)
GeekBench: 2694 (v5.1)
GFXBench: 42fps (ES 3.1 onscreen)",Endurance rating 105h,3.8
69,Oppo A97,True,True,True,True,"2022, July 12","Available. Released 2022, July 15",163.8 x 75.1 x 8 mm (6.45 x 2.96 x 0.31 in),188 g (6.63 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 90Hz","6.6 inches, 104.9 cm2 (~85.3% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",,,"Android 12, ColorOS 12",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,Unspecified,256GB 12GB RAM,"48 MP, PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,12 MP,,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Unspecified,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable",33W wired,,"Blue, Black",PFTM10,,,About 310 EUR,,,
70,Oppo Reno8 Lite,True,True,True,True,"2022, June 4","Available. Released 2022, June 4",159.9 x 73.2 x 7.5 mm (6.30 x 2.88 x 0.30 in),173 g (6.10 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","IPX4, dust and water resistant
RGB ring lights around the cameras (notifications, charging progress)","AMOLED, 430 nits (typ), 600 nits (HBM)","6.43 inches, 99.8 cm2 (~85.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~409 ppi density)",,,"Android 11, ColorOS 12",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC,"128GB 8GB RAM, 128GB 12GB RAM","64 MP, f/1.7, 26mm (wide), PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"16 MP, f/2.4, 27mm (wide), 1.0µm","HDR, panorama",1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Po 4500 mAh, non-removable","33W wired, PD, 31% in 15 min, 100% in 63 min (advertised)
Reverse wired",,"Cosmic Black, Champagne Silver",CPH2343,,,About 250 EUR,,,3.6
71,Oppo K10 5G,True,True,True,True,"2022, June 01","Available. Released 2022, June 10",163.8 x 75.1 x 8 mm (6.45 x 2.96 x 0.31 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IPX4 water resistant,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)","6.56 inches, 103.4 cm2 (~84.0% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 12, ColorOS 12.1",Mediatek Dimensity 810 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC,128GB 8GB RAM,"48 MP, f/1.7, 26mm (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, 26mm (wide)",Panorama,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","Li-Po 5000 mAh, non-removable","33W wired, 53% in 30 min (advertised)",,"Ocean Blue, Midnight Black",CPH2337,,,About 270 EUR,,,
