,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Rating
10,vivo Y100 4G,True,True,True,False,"2024, May 03","Available. Released 2024, May 03",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),186 g or 196 g (6.56 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,Always-on display,"Android 14, Funtouch 14",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,microSDXC (uses shared SIM slot),256GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","80W wired, 1-80% in 30 min (advertised)
Reverse wired",,"Crystal Black, Breeze Green",,,,About 230 EUR,,,
11,vivo V30e,True,True,True,True,"2024, May 02","Available. Released 2024, May 09",164.4 x 74.8 x 7.7 mm (6.47 x 2.94 x 0.30 in),179 g or 188 g (6.31 oz),"Glass front, plastic frame, glass back or plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 1B colors, 120Hz, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Schott Xensation,,"Android 14, Funtouch 14",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS (India only)
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","50 MP, f/2.5, 25mm (wide), AF - India
32 MP, f/2.0, 24mm (wide) - Malaysia",,"4K@30fps (India only), 1080p@30fps",No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS, NavIC",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5500 mAh, non-removable","44W wired, PD
Reverse wired",,"Velvet Red (Coco Brown), Silk Blue, Sky Mirror",,,,About 310 EUR,,,
12,vivo Y38,True,True,True,True,"2024, May 02","Available. Released 2024, May",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP64 dust/water resistant
Notification LED round light on the back","IPS LCD, 120Hz, 1000 nits (peak)","6.68 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~264 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (dedicated slot),256GB 8GB RAM,"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable",44W wired,,"Ocean Blue, Dark Green",,,,,,,
13,vivo V30 SE,True,True,True,True,"2024, May 01","Available. Released 2024, May 01",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),256GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","44W wired, 1-50% in 25 min (advertised)",,"Crystal Black, Leather Purple",,,,About 250 EUR,,,
14,vivo iQOO Z9 Turbo,True,True,True,True,"2024, April 24","Available. Released 2024, April 29",163.7 x 76 x 8 mm (6.44 x 2.99 x 0.31 in),194.9 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 1B colors, 144Hz, HDR, 4500 nits (peak)","6.78 inches, 111.0 cm2 (~89.2% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,Always-on display,"Android 14, OriginOS 4",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,Unspecified,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, (ultrawide)","LED flash, panorama, HDR","4K@30/60fps, 1080p, gyro-EIS, OIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","80W wired
7.5W reverse wired",,"Black, Mint, White",V2352A,,,About 260 EUR,,,
15,vivo iQOO Z9x,True,True,True,True,"2024, April 24","Available. Released 2024, April 29",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.05 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","IPS LCD, 120Hz, 1000 nits (peak)","6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,"Android 14, OriginOS 4",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K, 1080p, gyro-EIS","8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","44W wired
Reverse wired",,"Black, White, Light Green",V2353A,,,About 160 EUR,,,
16,vivo iQOO Z9 (China),True,True,True,True,"2024, April 24","Available. Released 2024, April 29",163.7 x 75.9 x 8 mm (6.44 x 2.99 x 0.31 in),194.6 g (6.88 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP64, dust and water resistant","AMOLED, 1B colors, 144Hz, HDR, 4500 nits (peak)","6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,Always-on display,"Android 14, OriginOS 4",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p, gyro-EIS","16 MP, f/2.5, (wide), 1/3.0"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6000 mAh, non-removable","80W wired
7.5W reverse wired",,"Black, White, Green",V2361A,,,About 190 EUR,,,
17,vivo iQOO Watch,True,True,True,False,"2024, April 24","Available. Released 2024, April 24",46.1 x 46.1 x 11.3 mm (1.81 x 1.81 x 0.44 in),36 g (1.27 oz),,eSIM,"5ATM water resistant
Compatible with standard 22mm straps",AMOLED,1.43 inches,466 x 466 pixels (~326 ppi density),,Always-on,Blue OS,,,,No,4GB 64MB RAM,No,,,,,,No,No,"5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,No,No,"Accelerometer, gyro, heart rate, barometer, compass, SpO2","505 mAh, non-removable",,,Black,,,,About 160 EUR,,,
18,vivo Y200i,True,True,True,True,"2024, April 21","Available. Released 2024, April 27",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",IP64 dust/water resistant,"IPS LCD, 120Hz, 1000 nits (peak)","6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,"Android 14, OriginOS 4",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","4.2, A2DP, aptX Adaptive","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","6000 mAh, non-removable","44W wired, 1-50% in 36 min (advertised)
Reverse wired",,"Black, Blue, White",V2354A,,,About 180 EUR,,,
19,vivo T3x,True,True,True,True,"2024, April 17","Available. Released 2024, April 24",165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in),199 g (7.02 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",IP64 dust/water resistant,"IPS LCD, 120Hz, 1000 nits (peak)","6.72 inches, 108.8 cm2 (~86.4% screen-to-body ratio)","1080 x 2408 pixels, 20:9 ratio (~393 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama","4K@30fps (8GB RAM version only), 1080p@30fps","8 MP, f/2.1, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable",44W wired,,"Crimson Bliss, Celestial Green",,,,About 150 EUR,,,
20,vivo V30 Lite 4G,True,True,True,False,"2024, April 04","Available. Released 2024, April 04",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),186 g or 188 g (6.56 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1200 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Asahi Glass AGC DT-Star2 Plus,Always-on display,"Android 14, Funtouch 14",Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, 1-80% in 30 min (advertised)
Reverse wired",,"Crystal Green, Crystal Black",,,,About 280 EUR,,,
21,vivo V30 Lite (ME),True,True,True,True,"2024, February 26","Available. Released 2024, February 26",162.4 x 74.9 x 7.8 mm (6.39 x 2.95 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 1B colors, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),256GB 12GB RAM,"50 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 106° (ultrawide)","LED flash, panorama, HDR",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","80W wired, 1-80% in 30 min (advertised)
Reverse wired",,"Leather Purple, Leather Orange, Crystal Black",,,,About 280 EUR,,,
22,vivo V40 SE,True,True,True,True,"2024, March 28","Available. Released 2024, April 18",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),185.5 g or 191 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1200 nits (HBM), 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55),Adreno 613,microSDXC (uses shared SIM slot),256GB 8GB RAM,"50 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, (ultrawide)
2 MP, f/2.4, (macro)","LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","44W wired, 1-50% in 25 min (advertised)",,"Crystal Black, Leather Purple",,,,About 360 EUR,,,
23,vivo X Fold3 Pro,True,True,True,True,"2024, March 26","Available. Released 2024, April 23",Unfolded: 160 x 142.4 x 5.2 mmFolded: 160 x 72.6 x 11.2 mm,236 g (8.32 oz),Carbon fiber hinge,"Dual SIM (Nano-SIM, dual stand-by)",IPX8 water resistant,"Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)","8.03 inches, 206.5 cm2 (~90.6% screen-to-body ratio)",2200 x 2480 pixels (~413 ppi density),,"Cover display:
AMOLED, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)
6.53 inches, 1172 x 2748 pixels, 21:9 ratio","Android 14, OriginOS 4",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.7, 23mm (wide), 1/1.3"", PDAF, Laser AF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", PDAF","Zeiss optics, Zeiss T* lens coating, Dual-LED flash, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide)
Cover camera:
32 MP, f/2.4, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 3.2 Gen 2, OTG","Dual screen fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, color spectrum","Si/C 5700 mAh, non-removable","100W wired, 1-100% in 31 min (advertised)
50W wireless
Reverse wireless",,"Black, White",V2337A,,,About 1280 EUR,,,
24,vivo X Fold3,True,True,True,True,"2024, March 26","Available. Released 2024, April 03",Unfolded: 160 x 142.7 x 4.7 mmFolded: 160 x 72.7 x 10.2 mm,219 g (7.72 oz),Carbon fiber hinge,"Dual SIM (Nano-SIM, dual stand-by)",,"Foldable LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)","8.03 inches, 206.5 cm2 (~90.5% screen-to-body ratio)",2200 x 2480 pixels (~413 ppi density),,"Cover display:
AMOLED, 120Hz, HDR10+, Dolby Vision, 4500 nits (peak)
6.53 inches, 1172 x 2748 pixels, 21:9 ratio","Android 14, OriginOS 4",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,No,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.8, (wide), 1/1.49"", PDAF, Laser AF, OIS
50 MP, f/1.9, (telephoto), 1/2.93"", PDAF, 2x optical zoom
50 MP, f/2.0, 119˚ (ultrawide), 1/2.76"", PDAF","Zeiss optics, Zeiss T* lens coating, Dual-LED flash, panorama","8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.4, (wide)
Cover camera:
32 MP, f/2.4, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 3.2 Gen 2, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Si/C 5500 mAh, non-removable","80W wired
Reverse wireless",,"Black, White",V2337A,,,About 900 EUR,,,
25,vivo Pad3 Pro,True,True,True,False,"2024, March 26","Available. Released 2024, April 03",289.6 x 198.3 x 6.6 mm (11.40 x 7.81 x 0.26 in),679 g (1.50 lb),"Glass front, aluminum back, aluminum frame",No,Stylus support,"IPS LCD, 1B colors, 144Hz, HDR10, 900 nits (peak)","13.0 inches, 503.2 cm2 (~87.6% screen-to-body ratio)","2064 x 3096 pixels, 3:2 ratio (~286 ppi density)",,,"Android 14, OriginOS 4",Mediatek Dimensity 9300 (4 nm),Octa-core (1x3.25 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),Immortalis-G720 MC12,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM",13 MP,"LED flash, panorama",Yes,8 MP,,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","5.4, A2DP, LE",Unspecified,Yes,No,"USB Type-C 3.2, OTG, magnetic connector","Accelerometer, gyro, proximity (accessories only)","11500 mAh, non-removable","66W wired, PD
5W reverse wired",,"Gray, Blue, Purple",,,,About 380 EUR,,,
26,vivo T3,True,True,True,True,"2024, March 21","Available. Released 2024, March 27",163.2 x 75.8 x 7.8 mm or 8.0 mm,185.5 g or 188 g (6.56 oz),"Glass front, plastic or silicone polymer (eco leather) back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 14, Funtouch 14",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x 2.0 Cortex-A510),Mali-G610 MC4,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, OIS","16 MP, f/2.0, (wide), 1/3.1"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, flicker","5000 mAh, non-removable",44W wired,,"Cosmic Blue, Cystal Flake",,0.98 W/kg (head)     0.94 W/kg (body)     ,,About 220 EUR,,,
27,vivo Y03,True,True,True,False,"2024, March 13","Available. Released 2024, March 13",163.8 x 75.7 x 8.4 mm (6.45 x 2.98 x 0.33 in),185 g (6.53 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz","6.56 inches, 103.4 cm2 (~83.4% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 14, Funtouch 14",Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM","13 MP, f/2.2, (wide), PDAF
0.08 MP, f/3.0 (auxiliary lens)","LED flash, panorama",1080p@30fps,"5 MP, f/2.2, (wide)",,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Accelerometer, proximity","Li-Ion 5000 mAh, non-removable",15W wired,,"Space Black, Gem Green",V2332,,,About 80 EUR,,,
28,vivo iQOO Z9,True,True,True,True,"2024, March 12","Available. Released 2024, March 13",163.2 x 75.8 x 7.8 mm (6.43 x 2.98 x 0.31 in),188 g (6.63 oz),"Glass front, plastic back, plastic frame","Hybrid Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, HDR, 1800 nits (peak)","6.67 inches, 107.4 cm2 (~86.8% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",Dragontrail Star 2 Plus,Always-on display,"Android 14, Funtouch 14",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, HDR","16 MP, f/2.0, (wide), 1/3.0"", 1.0µm",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, QZSS, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable","44W wired, 50% in 30 min (advertised)",,"Brushed Green, Graphene Blue",I2302,0.98 W/kg (head)     0.94 W/kg (body)     ,,About 220 EUR,,,
