,Name,2G,3G,4G,5G,Announced,Released,Dimension,Weight,Build,Sim,Body(Other),Display Type,Display Size,Resolution,Display Protection,Display(Other),OS,Chipset,CPU,GPU,Memory(External),Memory(Internal),Main Camera,Main Camera(Features),Main Camera(Video),Front Camera,Front Camera(Features),Front Camera(Video),Headphone Jack,WiFi,Bluetooth,GPS,NFC,Radio,USB,Sensors,Battery Type,Charging,Battery Talktime,Colors,Models,SAR,SAR EU,Price,Benchmark Results,Battery Test,Popularity,Rating
49,vivo iQOO 12,TRUE,TRUE,TRUE,TRUE,"2023, November 07","Available. Released 2023, November 14",163.2 x 75.9 x 8.1 mm or 8.4 mm,198.5 g or 203.7 g (7.02 oz),"Glass front, aluminum frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",IP64 dustproof and water splashproof (China only),"LTPO AMOLED, 1B colors, 144Hz, HDR10+, 1400 nits (HBM), 3000 nits (peak)","6.78 inches, 111.0 cm2 (~89.6% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 14, Funtouch 14 (International), OriginOS 4 (China)",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,No,"256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM","50 MP, f/1.7, 23mm (wide), 1/1.3"", 1.2µm, multi-directional PDAF, OIS
64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0"", PDAF, OIS, 3x optical zoom
50 MP, f/2.0, 15mm, 119˚ (ultrawide), AF","Dual-LED flash, HDR, panorama","8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS","16 MP, f/2.5, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6/7, tri-band, Wi-Fi Direct","5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless (market/region dependent)","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum","5000 mAh, non-removable",120W wired,,"Black, Red, White (BMW M branding)",V2307A,,,"$ 596.79 / ₹ 52,999","
AnTuTu: 1574344 (v9), 2107464 (v10)
GeekBench: 5857 (v5), 6953 (v6)
GFXBench: 102fps (ES 3.1 onscreen)",,"977,422 hits",4.3
50,vivo Y27s,TRUE,TRUE,TRUE,FALSE,"2023, November 07","Available. Released 2023, November 07",164.1 x 76.2 x 8.2 mm (6.46 x 3.00 x 0.32 in),192 g (6.77 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 90Hz, 650 nits (peak)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, Funtouch 13",Qualcomm SM6225 Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Adreno 610,microSDXC (dedicated slot),"128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","Li-Ion 5000 mAh, non-removable",44W wired,,"Burgundy Black, Garden Green",V2322,,,About 140 EUR,,,"527,875 hits",
51,vivo Y100 (China),TRUE,TRUE,TRUE,TRUE,"2023, October 27","Available. Released 2023, October 27",164.4 x 74.9 x 7.6 mm (6.47 x 2.95 x 0.30 in),172 g or 183 g (6.07 oz),,"Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,,"Android 13, OriginOS 3",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable","44W wired
Reverse wired",,"Blue, Green, Black",V2313A,,,About 180 EUR,,,"67,470 hits",
52,vivo T2,TRUE,TRUE,TRUE,FALSE,"2023, October 23","Available. Released 2023, October 23",162.5 x 75.8 x 7.7 mm (6.40 x 2.98 x 0.30 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back","Hybrid Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 120Hz","6.62 inches, 105.8 cm2 (~85.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~398 ppi density)",Schott Xensation Up,,"Android 13, Funtouch 13",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),256GB 8GB RAM,"64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30fps, gyro-EIS","32 MP, f/2.0, (wide)",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4600 mAh, non-removable","66W wired, 1-50% in 19 min (advertised)",,"Black Onyx, Sea Green, Lavender Glow",,,,About 280 EUR,,,"93,512 hits",
53,vivo V29e,TRUE,TRUE,TRUE,TRUE,"2023, October 23","Available. Released 2023, October 23",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),190 g (6.70 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 1150 nits (peak)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 13, Funtouch 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.8 GHz Kryo 660 Silver),Adreno 619,No,"256GB 8GB RAM, 256GB 12GB RAM","64 MP, f/1.8, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide)","Ring-LED flash, panorama, HDR",1080p@30fps,"50 MP, f/2.0, 22mm (wide), AF",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4800 mAh, non-removable",44W wired,,"Forest Black, Rose Gold, Ice Creek Blue",V2317,,,About 320 EUR,,,"716,934 hits",
54,vivo Y200,TRUE,TRUE,TRUE,TRUE,"2023, October 23","Available. Released 2023, October 23",162.4 x 74.9 x 7.7 mm (6.39 x 2.95 x 0.30 in),190 g (6.70 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","AMOLED, 120Hz, 800 nits (peak)","6.67 inches, 107.4 cm2 (~88.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,,"Android 13, Funtouch 13",Qualcomm SM4375 Snapdragon 4 Gen 1 (6 nm),Octa-core (2x2.0 GHz Cortex-A78 & 6x1.8 GHz Cortex-A55),Adreno 619,No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, (wide), PDAF, OIS
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR",1080p@30fps,"16 MP, f/2.0, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4800 mAh, non-removable","44W wired, 1-50% in 28 min (advertised)
Reverse wired",,"Jungle Green, Desert Gold",V2307,0.99 W/kg (head)     0.86 W/kg (body)     ,,"₹ 19,299",,,"571,665 hits",
55,vivo Y78t,TRUE,TRUE,TRUE,TRUE,"2023, October 20","Available. Released 2023, October 24",164.6 x 75.8 x 9.1 mm (6.48 x 2.98 x 0.36 in),199.6 g (7.05 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.64 inches, 106.8 cm2 (~85.6% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, OriginOS 3",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama",4K@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1), GLONASS (G1), BDS (B1c), GALILEO (E1), QZSS (L1)",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable",44W wired,,"Black, Blue, Silver",,,,About 200 EUR,,,"82,140 hits",
56,vivo V29 Pro,TRUE,TRUE,TRUE,TRUE,"2023, October 04","Available. Released 2023, October 10",164.2 x 74.4 x 7.5 mm (6.46 x 2.93 x 0.30 in),188 g (6.63 oz),"Glass front, glass back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 120Hz","6.78 inches, 111.0 cm2 (~90.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 13, Funtouch 13",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
12 MP, f/2.0, (telephoto), 1/2.93"", 1.22µm, PDAF, 2x optical zoom
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","50 MP, f/2.0, 22mm (wide), 1/2.76"", 0.64µm, AF",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1), NavIC",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4600 mAh, non-removable","80W wired, 1-50% in 18 min (advertised)",,"Himalayan Blue, Space Black, Pink",V2251,1.17 W/kg (head)     0.77 W/kg (body)     ,,"₹ 34,490","
AnTuTu: 682257 (v9), 904412 (v10)
GeekBench: 3999 (v5), 3764 (v6)
GFXBench: 43fps (ES 3.1 onscreen)",Endurance rating 113h,"931,483 hits",4.1
57,vivo iQOO Z8x,TRUE,TRUE,TRUE,TRUE,"2023, August 31","Available. Released 2023, September",164.6 x 75.8 x 9.1 mm (6.48 x 2.98 x 0.36 in),199.6 g (7.05 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.64 inches, 106.8 cm2 (~85.6% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, OriginOS 3",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama",4K@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.1, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","6000 mAh, non-removable",44W wired,,"Black, Blue, Silver",V2312A,,,About 170 EUR,,,"139,894 hits",
58,vivo iQOO Z8 (China),TRUE,TRUE,TRUE,TRUE,"2023, August 31","Available. Released 2023, September",164.6 x 75.8 x 8.8 mm (6.48 x 2.98 x 0.35 in),200 g (7.05 oz),,"Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz","6.64 inches, 106.8 cm2 (~85.6% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, OriginOS 3",Mediatek Dimensity 8200 (4 nm),Octa-core (1x3.1 GHz Cortex-A78 & 3x3.0 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC6,No,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","64 MP, f/1.8, (wide), 1/2.0"", 0.7µm, PDAF, OIS
2 MP, f/2.4, (depth)","Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps","16 MP, f/2.5, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1), GLONASS (G1), BDS (B1I+B1c), GALILEO (E1), QZSS (L1)",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass","5000 mAh, non-removable",120W wired,,"Black, Blue, Silver",V2314A,,,About 230 EUR,,,"223,984 hits",
59,vivo T2 Pro,TRUE,TRUE,TRUE,TRUE,"2023, September 22","Available. Released 2023, September 29",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),175 g (6.17 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",Splash resistant,"AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,,"Android 13, Funtouch 13",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 Cortex-A510),Mali-G610 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), PDAF, OIS
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Li-Ion 4600 mAh, non-removable","66W wired, 1-50% in 22 min (advertised)",,"Moon Black, Dune Gold",,,,About 250 EUR,,,"790,564 hits",
60,vivo Y17s,TRUE,TRUE,TRUE,FALSE,"2023, September 18","Available. Released 2023, October 02",163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in),186 g (6.56 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)","IP54, dust and splash resistant","IPS LCD, 700 nits (peak)","6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio)","720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,,"Android 13, Funtouch 13",Mediatek MT6769 Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,microSDXC (dedicated slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS, QZSS",No,FM radio,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","15W wired
Reverse wired",,"Glitter Purple, Forest Green",,,,"₹ 8,923",,,"1,356,134 hits",
61,vivo iQOO Z7 Pro,TRUE,TRUE,TRUE,TRUE,"2023, August 31","Available. Released 2023, September 05",164.1 x 74.8 x 7.4 mm (6.46 x 2.94 x 0.29 in),175 g (6.17 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",Asahi Glass,,"Android 13, planned upgrade to Android 14, Funtouch 14",Mediatek Dimensity 7200 (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x Cortex-A510),Mali-G610 MC4,No,"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.8, 26mm (wide), PDAF, OIS
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS","16 MP, f/2.5, (wide)",,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4600 mAh, non-removable","66W wired, 1-50% in 22 min (advertised)",,"Blue Lagoon, Graphite Matte",,,,"₹ 21,999",,,"1,068,361 hits",
62,vivo V29e (India),TRUE,TRUE,TRUE,TRUE,"2023, August 28","Available. Released 2023, September 07",164.4 x 74.9 x 7.6 mm (6.47 x 2.95 x 0.30 in),181 g (6.38 oz),"Glass front, plastic frame, glass back","Dual SIM (Nano-SIM, dual stand-by)",,"AMOLED, 1B colors, 120Hz, HDR10+, 1300 nits (peak)","6.78 inches, 111.0 cm2 (~90.1% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,,"Android 13, Funtouch 13",Qualcomm SM6375 Snapdragon 695 5G (6 nm),Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,microSDXC (uses shared SIM slot),"128GB 8GB RAM, 256GB 8GB RAM","64 MP, f/1.9, (wide), PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm","LED flash, panorama, HDR",1080p@30fps,"50 MP, f/2.45, 22mm (wide), AF",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","5000 mAh, non-removable",44W wired,,"Artistic Red, Artistic Blue",,,,About 300 EUR,,,"1,012,971 hits",
63,vivo Pad Air,TRUE,TRUE,TRUE,FALSE,"2023, August 25","Available. Released 2023, August 25",259.7 x 176 x 6.7 mm (10.22 x 6.93 x 0.26 in),530 g (1.17 lb),"Glass front, aluminum back, aluminum frame",No,Stylus support,"IPS LCD, 1B colors, 144Hz, HDR10, 500 nits","11.5 inches, 391.6 cm2 (~85.7% screen-to-body ratio)","1840 x 2800 pixels, 3:2 ratio (~291 ppi density)",,,"Android 13, OriginOS 3",Qualcomm SM8250-AC Snapdragon 870 5G (7 nm),Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585),Adreno 650,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",8 MP,LED flash,1080p@30fps,5 MP,,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","5.2, A2DP, LE",Unspecified,No,No,"USB Type-C 3.0, OTG, magnetic connector","Accelerometer, gyro, proximity (accessories only)","8500 mAh, non-removable","44W wired, PD
5W reverse wired",,"Blue, Silver, Rose Gold",,,,About 230 EUR,,,"112,112 hits",
64,vivo Y77t,TRUE,TRUE,TRUE,TRUE,"2023, August 18","Available. Released 2023, August 18",164.1 x 76.2 x 8 mm (6.46 x 3.00 x 0.31 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 120Hz, HDR10","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, OriginOS 3",Mediatek Dimensity 7020 (6 nm),Octa-core (2x2.2 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,No,"256GB 8GB RAM, 256GB 12GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, HDR, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE, aptX HD","GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1)",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable",44W wired,,"Black, Mint, Gold",,,,About 170 EUR,,,"96,055 hits",
65,vivo V29,TRUE,TRUE,TRUE,TRUE,"2023, July 31","Available. Released 2023, September",164.2 x 74.4 x 7.5 mm (6.46 x 2.93 x 0.30 in),186 g (6.56 oz),"Glass front, glass back, plastic frame","Nano-SIM, eSIM or Dual SIM (Nano-SIM, dual stand-by)",IP68 dust/water resistant (up to 1.5m for 30 min),"AMOLED, 1B colors, 120Hz, HDR10+","6.78 inches, 111.0 cm2 (~90.8% screen-to-body ratio)","1260 x 2800 pixels, 20:9 ratio (~453 ppi density)",,,"Android 13, Funtouch 13",Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,No,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","50 MP, f/1.9, (wide), 1/1.56"", 1.0µm, PDAF, OIS
8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth)","Ring-LED flash, panorama, HDR","4K@30fps, 1080p@30fps","50 MP, f/2.0, 22mm (wide), 1/2.76"", 0.64µm, AF",HDR,1080p@30fps,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.2, A2DP, LE, aptX HD, aptX Adaptive","GPS (L1), GLONASS (G1), BDS (B1I), GALILEO (E1), QZSS (L1)","Yes, eSE, eSIM",No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4600 mAh, non-removable","80W wired, 1-50% in 17 min (advertised)",,"Space Black, Himalayan Blue, Purple Fairy, Majestic Red",V2250,,0.94 W/kg (head)     1.08 W/kg (body)     ,"€ 557.09 / ₹ 26,988","
AnTuTu: 544639 (v9), 620950 (v10)
GeekBench: 2797 (v5.5), 3014 (v6.0)
GFXBench: 22fps (ES 3.1 onscreen)",Endurance rating 99h,"2,331,206 hits",4.1
66,vivo Y27 5G,TRUE,TRUE,TRUE,TRUE,"2023, July 12","Available. Released 2023, July",164.1 x 76.2 x 8.1 mm (6.46 x 3.00 x 0.32 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 600 nits (peak)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, Funtouch 13",Mediatek Dimensity 6020 (7 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,No,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.1, A2DP, LE","GPS, GLONASS, GALILEO, BDS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","15W wired
Reverse wired",,"Satin Purple, Mystic Black",V2302,,,,,,"342,665 hits",
67,vivo Y27,TRUE,TRUE,TRUE,FALSE,"2023, July 20","Available. Released 2023, July 20",164.1 x 76.2 x 8.1 mm (6.46 x 3.00 x 0.32 in),190 g (6.70 oz),"Glass front, plastic frame, plastic back","Dual SIM (Nano-SIM, dual stand-by)",,"IPS LCD, 600 nits (peak)","6.64 inches, 106.8 cm2 (~85.4% screen-to-body ratio)",1080 x 2388 pixels (~395 ppi density),,,"Android 13, Funtouch 13",Mediatek MT6769 Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,No,128GB 6GB RAM,"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)","LED flash, panorama",1080p@30fps,"8 MP, f/2.0, (wide)",,1080p@30fps,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","5.0, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,No,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass","5000 mAh, non-removable","44W wired, 29% in 15 min (advertised)
Reverse wired",,"Burgundy Black, Sea Blue",V2249,,,About 140 EUR,,,"981,173 hits",
